squareMeters,numberOfRooms,hasYard,hasPool,floors,made,hasStormProtector,basement,garage,price
84284,76,0,0,39,1998,0,4500,480,8432554.8
9619,66,1,0,91,1991,1,1069,927,969806.1
11410,96,0,1,96,2019,1,1466,933,1150663.9
29855,63,0,0,23,2000,1,3861,204,2987645.0
46716,94,0,0,58,2008,1,1361,409,4674140.8
77046,69,1,0,85,1992,1,8135,648,7714235.2
58855,1,0,0,66,2004,1,2267,531,5892518.4
69165,66,1,0,74,2009,1,1543,939,6926290.9
57915,25,0,1,84,2007,1,3394,640,5800324.7
66279,47,1,0,9,2003,1,5079,128,6631365.3
16068,21,1,0,13,1991,1,8893,463,1611707.1
74325,50,1,1,58,1994,1,4008,275,7443433.4
35742,46,1,1,47,2014,1,1732,243,3581003.4
9026,51,1,0,28,2000,0,779,482,904797.0
16899,19,0,1,14,2020,1,5710,302,1693690.0
99854,82,0,0,64,2009,1,4827,918,9989598.9
33743,56,1,1,29,2006,1,7330,345,3382812.6
72798,22,1,1,30,2007,0,2209,637,7290431.7
86492,21,0,0,86,1992,0,7843,463,8654049.2
38937,35,0,1,77,2013,1,1312,794,3901433.3
24762,22,0,1,62,1999,1,5264,502,2480900.9
91047,45,0,0,65,1999,0,7241,757,9109264.9
55527,64,0,1,44,2005,1,9385,786,5557814.5
70606,17,1,1,79,2017,0,4927,197,7070662.7
67327,47,0,0,87,1990,1,1097,964,6741466.0
6125,90,0,1,29,2012,1,6423,846,615143.2
71833,37,0,1,51,2013,0,3772,580,7185318.3
20811,98,1,1,71,1995,1,112,586,2090690.5
7643,98,0,0,63,1999,0,2142,983,765618.9
16669,95,1,1,81,2007,1,6109,239,1676719.7
84006,73,1,1,97,2000,0,9698,837,8409827.0
34059,49,0,0,90,1993,1,4138,347,3412619.3
36131,95,0,0,88,1991,0,1046,331,3620939.1
8201,18,1,1,66,2007,0,4949,185,826967.7
38398,84,0,0,22,1994,0,1618,404,3842545.4
38833,10,0,0,14,2014,1,1828,462,3884619.4
41488,22,0,0,59,2013,1,2090,650,4151539.3
5205,2,0,0,15,2005,0,8342,742,521650.5
45066,28,0,0,62,2013,0,7092,924,4508367.3
63875,53,1,1,14,1999,0,4139,152,6394774.9
25052,88,0,0,94,2020,1,718,703,2515214.0
51457,64,0,1,32,2016,0,3016,633,5150600.6
84396,64,0,0,96,2015,1,7416,593,8449333.5
64920,98,0,1,63,2016,0,2287,426,6501809.6
9166,4,1,0,16,2015,1,6838,842,922847.5
85558,48,1,0,83,2017,1,7997,374,8568781.7
87267,75,1,0,81,2019,0,6899,666,8731940.9
96091,100,0,1,24,1999,0,6546,373,9615021.9
38003,98,1,0,6,2008,0,9981,129,3803545.8
83120,97,0,1,68,2015,1,15,481,8318749.5
20468,100,1,0,34,2003,1,9659,802,2049846.3
75152,91,1,0,37,2018,0,4717,412,7518709.8
32688,9,1,1,18,2013,1,9089,398,3274057.3
45868,72,1,1,69,1994,1,7668,216,4600708.4
73900,69,0,1,36,2018,0,9847,140,7394635.8
16000,41,1,1,25,2007,1,7228,138,1606948.7
1423,59,0,1,30,1993,1,3900,879,149234.3
29951,37,1,1,13,1995,1,5692,762,3002371.5
40231,84,0,1,41,1999,0,5700,758,4030226.9
59517,38,1,0,69,2003,0,6831,727,5958698.3
98969,26,1,0,69,2003,0,3744,992,9902968.3
99177,49,0,0,41,2021,1,6326,429,9919217.1
89157,46,0,0,42,2009,1,3510,290,8920282.9
67429,60,0,1,24,1991,0,3578,858,6749654.1
38431,57,1,0,60,2020,0,4121,374,3848467.0
72495,76,1,1,59,1994,0,3413,254,7259025.4
85362,77,1,0,19,1997,0,7728,186,8541211.7
28597,93,0,0,47,1990,0,4492,714,2863386.0
13687,36,1,1,93,2001,1,4148,590,1376329.1
50479,3,0,1,73,2020,0,4149,188,5057657.0
98121,38,0,1,57,1995,1,6028,275,9817494.5
57736,16,0,0,21,1999,1,6099,588,5775940.9
30356,40,0,0,85,1992,0,7660,551,3039209.2
21141,38,0,1,80,1998,1,169,697,2126023.8
98122,34,0,0,7,2009,1,7125,186,9813433.9
34746,12,1,0,15,2000,0,2840,377,3478332.0
17297,43,1,1,19,2012,1,3216,243,1738971.2
80324,47,1,1,7,1993,1,325,109,8039714.3
15815,13,1,1,2,2019,0,637,552,1585031.9
1066,5,1,1,46,2017,1,2723,524,114605.7
79275,95,0,1,67,1995,1,3689,132,7930383.5
20658,7,1,1,48,1997,0,8080,341,2076936.7
8687,88,0,1,64,1993,1,7414,710,877525.3
69638,42,1,1,63,1991,0,4703,937,6977654.1
94036,18,0,0,19,2001,1,5913,986,9406163.1
60889,72,0,0,87,2018,0,7437,131,6091341.8
11680,21,0,0,14,1992,0,7478,921,1169431.2
11458,96,1,1,31,2010,0,1365,321,1154040.0
20397,67,0,0,79,1997,0,705,898,2042985.7
83206,34,1,0,51,1999,0,9170,327,8326302.9
8951,11,1,0,63,1997,0,6189,626,904889.7
22854,41,1,0,89,2001,1,6216,481,2292467.1
46042,52,0,0,74,2015,0,65,946,4605791.5
93506,20,1,0,28,2017,0,5297,306,9356982.7
58748,76,0,0,40,2010,1,1627,639,5875981.0
715,71,0,0,23,2010,1,8609,740,74252.0
55327,22,1,0,59,1993,1,7163,504,5540589.3
63631,84,1,0,12,2000,0,239,411,6369055.0
77915,99,0,0,21,2018,1,1081,448,7793915.8
91804,5,0,0,81,1999,1,8554,930,9182083.9
57295,95,0,0,69,1994,1,9771,951,5731510.4
61057,65,1,0,77,1998,0,9762,369,6114671.8
91626,83,1,0,55,1991,1,2684,101,9169068.1
29356,96,1,1,46,1990,1,1780,413,2948071.0
27134,62,1,0,2,2003,0,3718,357,2715604.3
1682,65,1,0,79,2017,1,2590,659,174918.7
98868,41,0,1,67,2021,1,2146,623,9892300.1
23898,62,1,0,93,1996,1,8256,136,2399286.6
83110,43,1,0,75,2001,0,4108,380,8321631.1
71154,67,0,1,53,2021,1,8418,706,7122699.1
90841,48,1,0,15,2003,0,3333,842,9086177.3
68416,87,1,0,48,2010,0,1811,424,6846709.0
47585,95,0,0,5,1993,1,5101,639,4759724.3
28452,79,1,0,40,2006,1,388,566,2850377.6
15630,78,1,0,4,1996,0,7084,225,1565985.6
65900,36,1,1,99,2017,1,2637,452,6605894.7
21600,94,1,0,56,2000,1,3129,236,2166421.0
74704,31,0,0,22,1992,0,7463,347,7472587.2
87291,78,1,1,42,2017,1,6214,596,8739254.7
96687,65,0,1,81,2012,1,2438,695,9673884.2
60567,65,1,1,100,2019,0,7010,993,6071330.9
4872,41,0,0,74,1990,0,5851,473,489455.0
9157,48,1,0,53,2009,0,6401,488,922102.9
65217,26,1,1,39,2019,1,1374,804,6531999.9
87346,56,1,1,82,1990,1,5792,947,8743241.0
47701,26,1,0,46,2001,0,5447,610,4773352.1
14766,50,0,1,79,2001,0,8031,643,1488265.1
94841,19,1,1,75,1998,1,3157,585,9498026.8
59318,92,0,0,91,2002,0,9413,425,5939275.2
1796,28,0,0,4,1997,1,8360,142,180265.7
96526,36,1,1,34,2020,1,2131,680,9661068.0
62876,36,0,0,9,2006,0,338,740,6288117.6
59558,43,1,1,89,2012,0,9174,712,5967916.2
97008,89,0,1,4,2014,1,8321,369,9703551.4
66746,6,1,0,10,1997,0,1567,378,6678869.7
25776,36,0,0,93,2002,0,688,954,2582235.2
96195,97,0,1,64,2018,1,3874,892,9626665.8
4805,47,1,1,99,1995,1,2788,839,486824.5
23045,21,1,0,75,1990,1,651,607,2312202.0
95441,70,0,1,65,2017,1,2841,404,9554998.7
28381,34,1,0,64,2009,0,6737,502,2847241.9
15731,34,1,1,37,2003,1,7361,277,1582940.3
18966,58,1,0,25,2019,1,2327,823,1902151.9
24393,46,1,1,16,2019,0,4080,619,2449464.9
53339,67,0,0,11,2013,0,368,312,5335546.3
44053,17,1,0,55,2004,0,6586,258,4413295.4
70898,98,0,0,92,1994,0,4848,942,7091863.4
84483,41,1,0,85,2019,0,6052,651,8452134.9
35716,24,1,0,52,2013,1,8821,991,3574932.3
64693,64,0,0,81,2013,0,7506,687,6471378.3
32593,40,1,0,94,2006,0,2261,871,3265750.6
1607,63,1,1,52,2020,0,2844,878,173112.0
39484,74,0,1,30,1991,0,3172,172,3954971.1
32458,28,1,1,20,2015,0,8462,523,3253846.5
72243,64,0,1,23,2004,1,4431,752,7229477.4
20624,44,1,0,83,1996,0,318,606,2070369.6
7443,38,1,0,41,2005,0,3249,503,748338.5
78382,41,0,0,14,2020,1,8751,985,7840062.0
70614,15,1,1,100,2010,1,4845,991,7075926.0
32235,59,1,0,10,2016,0,7388,488,3225143.6
2523,12,1,1,67,2015,1,150,949,260710.5
87864,55,0,0,77,2019,1,7834,745,8790481.9
18316,97,0,0,3,1991,0,5804,846,1832673.1
94471,30,1,1,79,2011,1,1327,285,9454072.1
60704,96,1,1,29,2004,0,4505,847,6080655.4
54020,4,1,0,64,2013,0,8767,882,5406334.3
59612,37,1,0,56,2017,1,5616,914,5967739.7
56467,63,0,0,41,1990,0,2743,815,5649094.0
65625,55,0,1,36,2015,1,774,958,6567597.5
41570,76,0,1,98,2014,1,3573,486,4167932.4
44862,99,0,1,68,1992,0,9383,631,4493882.2
47212,37,1,1,81,2001,0,7210,159,4734236.1
2840,17,1,0,26,2004,0,6848,294,288797.4
40465,85,0,0,100,2004,0,6327,403,4052600.4
17191,80,1,1,29,1995,0,3192,716,1728829.5
56480,85,1,0,80,2016,0,8211,532,5653048.6
70503,78,0,0,29,2021,0,6819,948,7051701.1
4885,100,0,0,54,1993,0,9519,718,493693.3
58263,65,1,1,57,2006,1,7942,786,5840294.6
47647,52,0,1,6,2002,1,3220,171,4768169.2
57916,51,0,0,24,1998,1,3831,356,5792783.8
6396,71,0,0,40,2005,0,413,682,643620.5
41972,18,0,1,49,1995,0,842,846,4206464.5
94311,11,1,0,47,2007,1,3619,868,9439790.7
10714,41,0,1,98,1996,1,2598,631,1075982.6
11259,26,0,1,82,2010,0,902,125,1134964.0
3534,16,1,1,13,2003,1,5811,900,359850.3
52680,10,0,1,79,1991,1,5687,242,5274696.1
62711,60,0,0,29,2007,1,4484,329,6272944.7
19268,12,1,0,77,2010,0,1133,357,1938014.0
36119,39,1,0,46,2019,1,3958,889,3620813.9
28394,53,0,0,7,2003,1,63,328,2840816.3
20392,33,1,0,84,2007,1,1256,171,2046763.7
7259,25,1,1,39,2014,0,6482,537,735079.4
28183,81,0,0,52,1993,1,2798,525,2821593.3
92188,14,0,1,95,1996,1,61,693,9227140.6
29815,28,0,0,77,1995,1,3530,663,2989048.5
50219,96,1,0,54,2003,1,8051,965,5025975.3
1722,56,0,1,84,2002,0,6240,497,182838.2
70399,14,0,1,85,2013,1,8009,255,7048784.3
28790,52,1,0,15,2021,1,1238,218,2883447.1
92962,7,1,1,37,2000,0,6581,315,9304587.0
34245,2,1,0,85,2010,1,251,918,3430728.0
54677,64,1,1,94,1996,0,1236,537,5477618.6
74227,84,1,0,5,2000,0,4609,378,7427853.0
94939,46,1,1,48,2009,0,9164,351,9503765.9
48884,58,1,0,32,2010,0,311,729,4895277.0
10638,39,0,0,33,2016,1,3142,138,1066200.6
90315,61,1,1,91,1994,1,5604,490,9044477.4
17633,28,0,0,83,2013,0,1644,162,1767487.3
63242,45,0,1,18,2017,1,6932,340,6327623.7
79344,46,1,1,42,1991,0,8088,744,7945562.1
72093,48,0,1,92,2005,0,4805,148,7223902.5
13378,59,1,0,9,2001,1,8171,488,1342476.1
47019,35,0,1,9,2020,0,2005,694,4706162.0
34666,75,1,1,14,2002,1,9405,186,3477313.2
93509,28,1,1,62,1992,1,72,731,9361261.2
13583,42,1,0,32,2015,1,4519,911,1364589.5
19649,11,0,1,83,1999,0,595,795,1970018.9
141,16,0,1,58,1997,0,3411,213,22670.7
22821,64,1,1,14,1993,1,2060,491,2289134.3
533,76,1,1,55,2021,1,654,301,65465.1
67020,71,1,1,38,2015,0,3647,640,6711051.5
49094,30,1,0,49,2021,1,4934,625,4916616.1
25269,88,0,0,92,2019,1,3464,693,2530193.9
71989,41,0,0,77,2003,0,7290,337,7204744.3
73180,1,1,1,54,2011,0,3340,784,7325717.1
18926,58,1,1,84,1998,0,5353,442,1908217.8
6492,76,0,0,88,2018,0,2655,372,652565.8
98045,4,1,1,8,2002,0,9321,570,9814193.2
51589,83,0,1,43,1998,0,7867,819,5167451.8
24390,75,1,0,44,1992,0,7295,235,2446317.2
75890,10,0,1,59,2001,1,270,744,7597786.1
29220,9,0,1,59,1994,0,391,706,2929116.4
72433,57,1,1,18,2001,0,6995,276,7250644.1
57467,98,0,0,64,1993,0,661,600,5749361.3
81482,76,1,0,9,1997,0,2265,281,8153070.7
61346,69,0,1,52,2009,1,7427,207,6141452.9
80915,23,1,1,67,1992,1,5351,569,8104297.2
65479,74,0,1,35,2000,1,9347,460,6552454.0
48302,22,1,0,13,2017,0,9855,543,4833604.7
76690,21,1,1,99,1990,1,611,181,7682267.0
14447,39,0,1,23,2002,0,5371,965,1448447.2
24213,31,1,1,93,1994,0,1561,653,2431969.4
1843,30,1,1,3,2007,1,1313,706,189919.7
78183,65,1,1,86,2007,1,8682,748,7829898.7
99323,35,0,1,28,2018,0,6346,280,9939399.8
67491,21,0,0,57,2007,0,1253,254,6750826.7
2588,82,1,0,69,2016,0,7247,987,267798.6
76635,6,1,1,1,1999,0,981,949,7669791.9
45070,100,0,0,92,1997,0,1333,885,4510977.7
62381,58,1,0,44,2003,0,1809,734,6243323.3
98543,2,1,0,44,1992,1,2955,661,9860222.2
13972,39,0,0,8,2009,0,1477,952,1397748.9
71567,70,0,1,94,1992,0,5968,985,7166917.2
36804,99,0,0,12,1996,0,6951,594,3681839.6
21297,71,1,1,14,1995,1,8198,111,2136801.5
9950,1,1,0,69,2012,1,3156,174,1000736.2
3661,50,1,1,24,2007,0,6186,613,372556.7
88102,51,1,0,70,2016,0,7245,496,8821018.6
72596,91,0,0,90,2015,0,9595,156,7262781.5
70763,4,1,0,38,2015,0,7098,484,7082373.5
12002,58,0,0,41,1995,0,1718,867,1203664.5
26146,34,0,1,98,2011,1,2060,680,2627462.1
13716,62,0,1,98,1990,1,5967,911,1382883.0
23281,32,1,1,52,2020,1,3681,422,2339782.0
3824,45,1,1,9,2019,1,3191,305,386574.9
56086,3,1,0,46,2021,1,2853,863,5615576.1
19014,67,1,0,89,1999,0,3330,550,1912984.9
80808,59,1,0,1,2004,0,3879,434,8085990.4
83602,5,0,1,2,1991,0,8993,496,8365162.1
99767,27,0,1,79,2018,0,520,495,9985836.8
60675,32,1,0,51,2002,0,5953,260,6075733.2
20210,2,1,0,78,2007,0,2811,218,2029228.7
28694,82,0,0,20,1991,1,3206,310,2870499.1
45521,53,0,0,32,1991,1,8643,670,4554205.1
55727,46,0,0,77,2016,0,5811,183,5574845.6
17307,20,1,0,66,2006,1,2317,692,1740869.6
86474,98,0,0,33,2004,0,1928,220,8649993.4
6012,53,1,0,38,2013,0,392,423,607323.3
6617,51,0,0,38,2010,1,7115,248,663333.0
34061,43,0,0,90,1993,0,1616,534,3407529.3
12881,12,1,0,68,2006,1,8654,920,1293712.6
48458,82,1,0,72,2002,1,5447,308,4851198.2
89618,49,1,0,36,2006,1,4321,752,8969519.6
10369,30,1,0,68,1999,0,9629,383,1044857.9
21865,24,0,1,79,1993,0,2324,932,2191960.3
30817,48,0,0,63,2013,0,2444,961,3086005.3
8808,85,1,0,37,1998,1,9287,416,888730.8
16006,69,1,1,26,1990,0,3565,405,1610901.0
70517,37,0,0,1,2002,1,9373,184,7052408.2
55592,68,0,1,10,2021,0,7719,372,5564877.1
10978,17,0,1,55,2015,1,9798,481,1103882.5
94388,7,1,0,81,1996,0,7739,741,9446167.6
18041,90,1,0,99,2006,0,1064,221,1817658.6
18220,91,0,1,97,2013,0,2604,838,1833031.3
39342,7,1,1,84,1994,1,1003,385,3946165.4
66570,59,0,0,2,2008,1,2628,754,6657976.8
34592,100,0,1,33,1994,0,7356,264,3465076.4
38700,25,1,1,26,1996,1,5100,956,3880396.6
32060,25,0,1,97,2017,1,9618,814,3211741.7
8305,86,0,0,83,2001,1,1648,766,838488.1
40080,50,0,0,82,2018,0,5973,484,4011225.8
89335,66,1,1,54,2004,1,9808,425,8938823.4
78546,92,0,1,84,1991,1,978,530,7864949.1
50066,63,0,1,67,1998,1,8716,465,5015729.8
37008,61,1,1,75,2013,0,309,463,3708694.3
32876,98,1,1,32,2008,1,3289,121,3299047.8
98266,14,1,1,42,1990,1,6293,1000,9838529.0
53665,66,1,1,81,2002,0,1788,204,5379979.2
33469,98,1,1,91,2016,0,6871,293,3362757.6
42578,49,1,1,23,2013,0,6690,964,4264812.3
64329,25,1,0,44,2019,1,7313,634,6436473.9
29512,96,0,1,26,2012,1,6556,170,2955396.2
241,78,0,1,50,2013,1,4070,962,29643.3
32709,47,1,1,80,2006,1,2548,162,3284181.6
29271,70,0,1,98,2021,1,3470,429,2938810.1
15542,19,0,0,27,1996,0,563,615,1556824.6
94951,52,0,1,80,2014,1,4121,261,9498811.4
12296,54,1,0,45,2008,1,1449,127,1233872.8
42390,17,0,0,96,2001,0,7796,462,4245306.1
2157,22,0,0,93,2021,0,5209,799,222104.1
70576,66,1,0,7,2013,0,6411,684,7061024.3
22232,24,0,1,52,2005,1,135,882,2230267.5
31368,78,1,0,86,2007,1,6510,682,3142605.7
2713,76,0,0,19,2000,1,3827,880,273858.0
40939,60,1,0,6,2017,1,9386,956,4097363.7
84892,59,0,0,46,2007,1,271,556,8492982.7
43332,60,0,1,24,2002,1,9557,321,4336691.2
39445,100,0,0,66,1990,1,1391,992,3947777.0
82032,78,1,0,64,2004,0,6972,883,8209534.4
813,45,0,1,15,1998,0,4226,633,84647.8
43432,44,0,1,34,2010,0,2077,377,4347238.0
80988,34,0,1,57,2015,1,8135,321,8104253.5
99444,68,1,0,60,2021,0,5643,834,9947284.1
37618,57,0,0,45,2008,1,3892,638,3766350.8
63973,18,1,0,78,2002,1,6770,937,6405935.2
99107,54,0,1,65,2018,1,5522,194,9916550.8
71519,12,0,1,80,2012,0,9982,800,7156303.2
91841,77,0,0,14,2011,1,8782,955,9185367.1
28467,98,1,1,70,2019,0,4314,658,2855561.9
77075,52,1,0,11,2002,1,1768,430,7713855.2
91776,26,0,0,72,2001,1,1303,712,9184100.1
69948,45,1,1,59,2017,0,5632,301,7006951.7
68593,3,1,1,65,2021,1,5603,540,6867934.1
56774,50,1,0,23,1995,0,5989,469,5682955.5
84577,63,0,1,64,1991,0,9411,400,8467175.1
78835,77,0,0,84,2002,1,1071,771,7887862.2
59073,82,0,1,38,2003,0,8036,303,5909662.3
6704,83,1,1,59,2012,1,7171,822,682123.2
20968,48,1,0,6,1992,0,3747,656,2100783.2
64244,20,1,0,82,2021,1,5461,426,6435074.1
54133,1,0,1,89,1993,0,2192,195,5426671.3
90842,60,1,1,25,1995,0,3501,152,9092168.5
51780,83,0,0,88,2021,0,540,879,5184160.1
38722,91,1,0,22,2008,0,4316,738,3876450.8
51127,85,1,0,66,1996,0,391,127,5119947.6
31802,100,0,0,80,1990,1,3049,476,3184469.0
26770,8,1,1,69,2016,0,6924,940,2687139.6
63839,58,1,1,2,2019,1,6200,302,6389327.9
56181,76,0,1,98,1996,0,4581,953,5630006.6
91757,82,0,0,78,2012,1,5258,628,9182239.2
54200,51,0,0,43,2010,1,9853,869,5423195.0
29788,61,0,0,68,2011,1,6551,782,2983377.1
29180,7,1,0,1,1999,0,3218,753,2923248.9
30630,62,0,1,65,1996,0,2190,965,3072463.6
81114,23,0,1,89,2007,0,1629,813,8118084.7
96016,48,0,1,35,1998,1,269,300,9605401.8
8977,53,0,1,62,2014,0,5865,250,905963.4
92508,60,0,0,88,2006,1,1551,271,9257332.6
38804,18,1,0,45,2000,0,5441,925,3885083.0
34830,92,1,0,85,2003,0,3930,833,3488181.3
48540,42,0,0,27,2016,1,5751,489,4856286.6
25680,51,1,0,11,2009,1,8681,829,2573981.9
73224,66,0,0,74,2021,1,7771,941,7330502.1
29589,45,1,1,76,2006,0,3703,130,2973362.6
96469,21,1,0,13,1994,0,7532,416,9651382.4
35039,19,0,1,22,1994,1,2052,979,3511457.4
99592,47,1,0,61,1997,1,9635,360,9963329.7
70433,41,1,0,1,2018,0,3499,160,7045037.8
73644,18,0,0,7,1998,0,4485,345,7365392.8
77211,47,0,1,84,2006,1,5620,554,7725844.6
36429,8,0,1,29,2019,0,9275,152,3651244.9
90334,44,1,0,6,1990,1,2390,413,9037622.0
51993,59,1,1,33,2013,1,7531,891,5208507.3
44476,27,0,1,13,2013,0,9906,101,4450503.3
31661,52,0,0,18,2020,1,7968,249,3168722.0
